,0,1,2,accuracy,macro avg,weighted avg
precision,0.8076923076923077,0.9171428571428571,0.9583333333333334,0.9061032863849765,0.8943894993894994,0.9027659976955752
recall,0.6176470588235294,0.9846625766871165,0.71875,0.9061032863849765,0.7736865451702153,0.9061032863849765
f1-score,0.7,0.9497041420118344,0.8214285714285714,0.9061032863849765,0.8237109044801353,0.9002095412712965
support,68.0,326.0,32.0,0.9061032863849765,426.0,426.0
